# Last workflow run on (ET): 2025-08-27 14:27:53
NID,Title,URL,Organization,Product,Issue,"What you should do",Category,"Recall class","Last updated",Archived
77923,"Various pistachio-containing products recalled due to Salmonella",https://recalls-rappels.canada.ca/en/alert-recall/various-pistachio-containing-products-recalled-due-salmonella-0,CFIA,"Pistachio-containing products",Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with&nbsp;Salmonella&nbsp;may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Candy, confectionary, snacks and sweeteners","Class 2",2025-08-26,0
77978,"VEVOR Tabletop Fire Pit Bowl recalled due to fire hazard",https://recalls-rappels.canada.ca/en/alert-recall/vevor-tabletop-fire-pit-bowl-recalled-due-fire-hazard,"Consumer product safety","VEVOR Tabletop Fire Pit Bowl","Fire hazard","Consumers should immediately stop using the recalled VEVOR Tabletop Fire Pit Bowl and dispose of it in accordance with local waste requirements or return to VEVOR for a refund.For more information, consumers can contact VEVOR by email at recalling@vevor.com.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Household items",,2025-08-26,0
77980,"Shaikh Al Kar brand Plain Halva recalled due to Salmonella",https://recalls-rappels.canada.ca/en/alert-recall/shaikh-al-kar-brand-plain-halva-recalled-due-salmonella,CFIA,"Plain Halva",Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with Salmonella may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Candy, confectionary, snacks and sweeteners","Class 2",2025-08-26,0
77973,"Important Safety Information on CRYSVITA (burosumab) and the Risk of Severe Hypercalcemia in Patients with Tertiary Hyperparathyroidism",https://recalls-rappels.canada.ca/en/alert-recall/important-safety-information-crysvita-burosumab-and-risk-severe-hypercalcemia-patients,"Marketed health products","CRYSVITA (burosumab)","New safety information - Product safety",,"Biologic or vaccine",,2025-08-25,0
77974,"Arizer Solo II Vaporizer recalled due to burn hazard  ",https://recalls-rappels.canada.ca/en/alert-recall/arizer-solo-ii-vaporizer-recalled-due-burn-hazard,"Consumer product safety","Arizer Solo II Vaporizer","Burn hazard","Consumers should immediately stop using the recalled Solo II Vaporizer and dispose of the product in accordance with municipal electronic waste requirements. Consumers can contact Arizer to receive a free replacement.For more information, consumers can contact Arizer by telephone at 1-888-291-0521, by email at recall@arizer.com, or visit the company website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Vaping and tobacco products",,2025-08-25,0
77975,"Lars brand dining furniture products recalled due to lead in excess of allowable limit",https://recalls-rappels.canada.ca/en/alert-recall/lars-brand-dining-furniture-products-recalled-due-lead-excess-allowable-limit,"Consumer product safety","Lars brand dining furniture","Chemical hazard","Consumers should immediately stop using the recalled products and contact The Brick for additional instructions.For more information, consumers can contact The Brick by telephone at 1-780-452-7912 (English) and 1-514-685-9421 (French) between 9:00am to 5:00pm MT, or by email at recall@thebrick.com.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.&nbsp;Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.&nbsp;This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.&nbsp;","Furniture and furnishings",,2025-08-25,0
77982,"Habibi brand Pistachio Kernel recalled due to Salmonella",https://recalls-rappels.canada.ca/en/alert-recall/habibi-brand-pistachio-kernel-recalled-due-salmonella-4,CFIA,"Pistachio Kernel",Salmonella,,"Nuts, grains, and seeds","Class 2",2025-08-25,0
77981,"Habibi brand Pistachio Kernel recalled due to Salmonella",https://recalls-rappels.canada.ca/en/alert-recall/habibi-brand-pistachio-kernel-recalled-due-salmonella-3,CFIA,"Pistachio Kernel",Salmonella,,"Nuts, grains, and seeds","Class 2",2025-08-23,0
76710,"ACCOLADE™  and VISIONIST™ CRT-P Pacemakers",https://recalls-rappels.canada.ca/en/alert-recall/accoladetm-and-visionisttm-crt-p-pacemakers,"Medical devices","ACCOLADE™  and VISIONIST™ CRT-P Pacemakers",Performance,,Cardiovascular,"Type I",2025-08-22,0
77963,"Various pistachio-containing products recalled due to Salmonella",https://recalls-rappels.canada.ca/en/alert-recall/various-pistachio-containing-products-recalled-due-salmonella,CFIA,"Pistachio Baklava, Pistachio Butter Cookies, Baklava, Pistachio Paklava",Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with Salmonella may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Candy, confectionary, snacks and sweeteners","Class 2",2025-08-22,0
