NID,Title,URL,Organization,Product,Issue,What you should do,Category,Recall class,Last updated,Archived,Main issue,Secondary issue,Bacteria subtype
77820,Andalos brand pastry products recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/andalos-brand-pastry-products-recalled-due-salmonella,CFIA,Pastry products,Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with&nbsp;Salmonella&nbsp;may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Candy, confectionary, snacks and sweeteners",Class 2,2025-08-07,0,Salmonella,,
77809,Dubai brand Pistachio & Knafeh Milk Chocolate recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/dubai-brand-pistachio-knafeh-milk-chocolate-recalled-due-salmonella,CFIA,Pistachio & Knafeh Milk Chocolate,Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with Salmonella may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Candy, confectionary, snacks and sweeteners",Class 2,2025-08-04,0,Salmonella,,
77795,Al Mokhtar Food Centre brand Pistachio recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/al-mokhtar-food-centre-brand-pistachio-recalled-due-salmonella,CFIA,Pistachio ,Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with Salmonella may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Nuts, grains, and seeds",Class 2,2025-07-30,0,Salmonella,,
77785,Soppressata Hot and Genoa Salami recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/soppressata-hot-and-genoa-salami-recalled-due-salmonella,CFIA,Soppressata Hot and Genoa Salami ,Salmonella,,Meat and poultry,Class 1,2025-07-25,0,Salmonella,,
77753,Natural Pastures Cheese Company brand Mount Becher Buffalo Medium Cheese recalled due to Listeria monocytogenes,https://recalls-rappels.canada.ca/en/alert-recall/natural-pastures-cheese-company-brand-mount-becher-buffalo-medium-cheese-recalled-0,CFIA,Mount Becher Buffalo Medium Cheese,Listeria,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with&nbsp;Listeria monocytogenes&nbsp;may not look or smell spoiled but can still make you sick. Symptoms can include vomiting, nausea, persistent fever, muscle aches, severe headache and neck stiffness. Pregnant women, the elderly and people with weakened immune systems are particularly at risk. Although infected pregnant women may experience only mild, flu-like symptoms, the infection can lead to premature delivery, infection of the newborn or even stillbirth. In severe cases of illness, people may die.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Dairy,Class 1,2025-07-24,0,Listeria,,
77772,Habibi brand Pistachio Kernel recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/habibi-brand-pistachio-kernel-recalled-due-salmonella,CFIA,Pistachio Kernel,Salmonella,,"Nuts, grains, and seeds",Class 2,2025-07-24,0,Salmonella,,
77735,Various brands of Salami and Cacciatore recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/various-brands-salami-and-cacciatore-recalled-due-salmonella,CFIA,"Salami, Cacciatore",Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedConsumers who are unsure if they have purchased the affected products are advised to contact their retailerFood contaminated with&nbsp;Salmonella&nbsp;may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Processed,Class 2,2025-07-18,0,Salmonella,,
77728,Rea brand Soppressata Salami Sweet recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/rea-brand-soppressata-salami-sweet-recalled-due-salmonella,CFIA,Soppressata Salami Sweet,Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with&nbsp;Salmonella&nbsp;may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.",Processed,Class 2,2025-07-14,0,Salmonella,,
77655,Peeters Mushroom Farm brand Sliced Mushrooms recalled due to Listeria monocytogenes,https://recalls-rappels.canada.ca/en/alert-recall/peeters-mushroom-farm-brand-sliced-mushrooms-recalled-due-listeria-monocytogenes,CFIA,Sliced Mushrooms,Listeria,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with Listeria monocytogenes may not look or smell spoiled but can still make you sick. Symptoms can include vomiting, nausea, persistent fever, muscle aches, severe headache and neck stiffness. Pregnant women, the elderly and people with weakened immune systems are particularly at risk. Although infected pregnant women may experience only mild, flu-like symptoms, the infection can lead to premature delivery, infection of the newborn or even stillbirth. In severe cases of illness, people may die.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Fresh,Class 1,2025-06-29,0,Listeria,,
77653,Natural Pastures Cheese Company brand Mount Becher Buffalo Medium Cheese recalled due to Listeria monocytogenes,https://recalls-rappels.canada.ca/en/alert-recall/natural-pastures-cheese-company-brand-mount-becher-buffalo-medium-cheese-recalled-due,CFIA,Mount Becher Buffalo Medium Cheese,Listeria,,Dairy,Class 1,2025-06-24,0,Listeria,,
